OpenTime,Open,High,Low,Close,BaseVolume,CloseTime,QuoteVolume,TradeCount,TakerBuyBaseVolume,TakerBuyQuoteVolume
1641833700,41740.77000000,41792.20000000,41740.76000000,41740.76000000,15.03654000,1641833759,628067.13611840,540,7.06045000,294931.94547500
1641833760,41783.10000000,41821.23000000,41769.43000000,41769.43000000,35.03639000,1641833819,1464456.75853580,628,12.66736000,529477.37886540
1641833820,41799.98000000,41857.74000000,41797.15000000,41797.15000000,19.57614000,1641833879,818886.79511320,656,12.08918000,505632.74486720
1641833880,41844.48000000,41926.00000000,41807.72000000,41807.72000000,45.29663000,1641833939,1896548.08588890,1265,25.26158000,1057307.29823220
1641833940,41873.34000000,41934.54000000,41855.15000000,41855.15000000,155.66201000,1641833999,6518653.40149470,1384,114.29299000,4785958.41328320
1641834000,41904.40000000,41999.00000000,41891.64000000,41891.64000000,138.72481000,1641834059,5821837.41054300,2195,82.15219000,3448107.87977170
1641834060,41972.01000000,42121.63000000,41917.54000000,41917.54000000,291.83417000,1641834119,12262568.83439870,5128,199.60180000,8387026.98295420
1641834120,41923.65000000,41942.57000000,41800.00000000,41800.00000000,157.40195000,1641834179,6591158.71183350,2499,99.14707000,4151180.35624300
1641834180,41838.79000000,41849.91000000,41782.22000000,41782.22000000,107.25202000,1641834239,4485115.50478540,1811,51.33054000,2146540.14607410
1641834240,41799.49000000,41810.28000000,41684.58000000,41684.58000000,95.77276000,1641834299,3997570.86211290,2093,37.67909000,1572683.91149590
1641834300,41746.59000000,41746.59000000,41665.69000000,41665.69000000,34.89398000,1641834359,1455206.65796030,974,12.41989000,517958.03818810
1641834360,41684.53000000,41759.25000000,41684.53000000,41684.53000000,28.63287000,1641834419,1194770.40374420,804,15.94545000,665395.80169420
1641834420,41732.85000000,41732.85000000,41680.00000000,41680.00000000,29.18340000,1641834479,1217138.98909020,760,12.78142000,533065.62721810
1641834480,41706.38000000,41741.94000000,41681.62000000,41681.62000000,43.03627000,1641834539,1794786.04075630,853,13.93692000,581315.77914930
1641834540,41700.89000000,41720.49000000,41653.00000000,41653.00000000,50.09178000,1641834599,2087732.89771880,1014,26.17658000,1090998.73730570
1641834600,41692.23000000,41720.00000000,41682.12000000,41682.12000000,25.51152000,1641834659,1063831.13549540,778,13.47410000,561846.09745570
1641834660,41707.43000000,41773.22000000,41689.57000000,41689.57000000,19.82412000,1641834719,827325.30378870,677,13.78814000,575450.84466690
1641834720,41773.22000000,41773.22000000,41710.04000000,41710.04000000,19.87406000,1641834779,829378.47563890,620,8.55439000,356952.50391910
1641834780,41729.32000000,41736.86000000,41670.15000000,41670.15000000,28.39252000,1641834839,1183913.68024220,611,9.18899000,383184.21080950
1641834840,41700.00000000,41710.69000000,41660.01000000,41660.01000000,9.65243000,1641834899,402325.46093220,582,4.67424000,194818.51352990
1641834900,41665.26000000,41681.80000000,41633.76000000,41633.76000000,39.09100000,1641834959,1628434.76384980,982,14.60900000,608634.12911670
1641834960,41655.61000000,41731.35000000,41655.42000000,41655.42000000,18.76676000,1641835019,782488.59058250,726,13.01610000,542726.91181030
1641835020,41681.48000000,41681.48000000,41643.00000000,41643.00000000,33.07701000,1641835079,1377950.30730540,866,12.62706000,526015.40273450
1641835080,41647.37000000,41692.58000000,41640.50000000,41640.50000000,30.20699000,1641835139,1258523.03515980,892,19.50298000,812585.85091980
1641835140,41667.92000000,41691.97000000,41615.87000000,41615.87000000,20.29676000,1641835199,845222.65437440,781,8.31905000,346391.66932620
1641835200,41646.04000000,41683.33000000,41624.01000000,41624.01000000,17.95591000,1641835259,748015.38539600,709,9.14039000,380768.03435470
1641835260,41677.36000000,41722.79000000,41670.22000000,41670.22000000,19.36138000,1641835319,807354.18681430,823,12.80781000,534067.20444830
1641835320,41708.04000000,41713.00000000,41671.61000000,41671.61000000,13.93112000,1641835379,580834.22841160,486,4.94534000,206187.66890280
1641835380,41674.65000000,41688.06000000,41591.08000000,41591.08000000,63.38300000,1641835439,2638372.98682020,1283,29.74651000,1238004.96830530
1641835440,41599.99000000,41661.50000000,41590.00000000,41590.00000000,47.66797000,1641835499,1984108.22066470,945,33.39017000,1389778.82305660
1641835500,41644.34000000,41650.00000000,41547.84000000,41547.84000000,63.95780000,1641835559,2660534.74620010,1064,20.99339000,873416.65581430
1641835560,41602.58000000,41604.59000000,41081.40000000,41081.40000000,410.62304000,1641835619,16952891.80714530,7845,119.71832000,4940307.23881500
